4.13e+07 28.30	2.02e+07 26.67
4.99e+07 27.84	2.45e+07 26.23
6.03e+07 27.38	2.98e+07 25.80
7.29e+07 26.92	3.62e+07 25.37
8.81e+07 26.47	4.40e+07 24.94
1.07e+08 26.02	5.34e+07 24.52
1.29e+08 25.57	6.49e+07 24.10
1.56e+08 25.13	7.89e+07 23.68
1.88e+08 24.69	9.59e+07 23.27
2.28e+08 24.26	1.17e+08 22.87
2.75e+08 23.83	1.42e+08 22.46
3.33e+08 23.41	1.72e+08 22.06
4.02e+08 22.99	2.09e+08 21.67
4.87e+08 22.57	2.54e+08 21.28
5.88e+08 22.16	3.09e+08 20.89
7.12e+08 21.76	3.76e+08 20.51
8.60e+08 21.35	4.57e+08 20.13
1.04e+09 20.96	5.55e+08 19.75
1.26e+09 20.56	6.75e+08 19.38
1.52e+09 20.17	8.21e+08 19.02
1.84e+09 19.79	9.98e+08 18.65
2.23e+09 19.41	1.21e+09 18.30
2.69e+09 19.03	1.47e+09 17.94
3.26e+09 18.66	1.79e+09 17.59
3.94e+09 18.30	2.18e+09 17.25
4.76e+09 17.94	2.65e+09 16.91
5.76e+09 17.58	3.22e+09 16.57
6.97e+09 17.23	3.92e+09 16.24
8.43e+09 16.88	4.76e+09 15.91
1.02e+10 16.54	5.79e+09 15.59
1.23e+10 16.20	7.04e+09 15.27
1.49e+10 15.87	8.56e+09 14.95
1.80e+10 15.54	1.04e+10 14.64
2.18e+10 15.21	1.27e+10 14.33
2.64e+10 14.89	1.54e+10 14.03
3.20e+10 14.58	1.87e+10 13.73
3.87e+10 14.27	2.28e+10 13.44
4.68e+10 13.96	2.77e+10 13.15
5.66e+10 13.66	3.37e+10 12.87
6.85e+10 13.36	4.09e+10 12.59
8.29e+10 13.07	4.98e+10 12.31
1.00e+11 12.78	6.06e+10 12.04
1.21e+11 12.50	7.37e+10 11.77
1.47e+11 12.22	8.96e+10 11.51
1.78e+11 11.95	1.09e+11 11.25
2.15e+11 11.68	1.33e+11 11.00
2.60e+11 11.42	1.61e+11 10.75
3.15e+11 11.16	1.96e+11 10.51
3.82e+11 10.90	2.39e+11 10.27
4.62e+11 10.66	2.91e+11 10.03
5.59e+11 10.41	3.53e+11 9.80
6.77e+11 10.17	4.30e+11 9.58
8.20e+11 9.94	5.23e+11 9.35
9.92e+11 9.71	6.37e+11 9.14
1.20e+12 9.48	7.75e+11 8.93
1.45e+12 9.26	9.43e+11 8.72
1.76e+12 9.05	1.15e+12 8.51
2.13e+12 8.84	1.40e+12 8.32
2.58e+12 8.63	1.70e+12 8.12
3.13e+12 8.43	2.07e+12 7.93
3.79e+12 8.24	2.52e+12 7.75
4.59e+12 8.05	3.06e+12 7.57
5.56e+12 7.86	3.73e+12 7.40
6.73e+12 7.69	4.54e+12 7.23
8.15e+12 7.51	5.53e+12 7.06
9.87e+12 7.34	6.73e+12 6.91
1.20e+13 7.18	8.19e+12 6.75
1.45e+13 7.03	9.97e+12 6.60
1.75e+13 6.88	1.21e+13 6.46
2.13e+13 6.73	1.48e+13 6.33
2.57e+13 6.59	1.80e+13 6.19
3.12e+13 6.46	2.19e+13 6.07
3.78e+13 6.34	2.66e+13 5.95
4.57e+13 6.22	3.24e+13 5.84
5.54e+13 6.10	3.95e+13 5.73
6.70e+13 6.00	4.80e+13 5.63
8.12e+13 5.90	5.84e+13 5.53
9.83e+13 5.81	7.11e+13 5.45
1.19e+14 5.72	8.65e+13 5.37
1.44e+14 5.65	1.05e+14 5.29
1.74e+14 5.58	1.28e+14 5.23
2.11e+14 5.52	1.56e+14 5.17
2.55e+14 5.46	1.89e+14 5.12
3.08e+14 5.42	2.30e+14 5.07
3.73e+14 5.38	2.80e+14 5.04
4.51e+14 5.35	3.40e+14 5.01
5.45e+14 5.34	4.13e+14 4.99
6.58e+14 5.33	5.01e+14 4.99
7.95e+14 5.33	6.09e+14 4.99
9.60e+14 5.34	7.39e+14 5.00
1.16e+15 5.36	8.97e+14 5.02
1.40e+15 5.40	1.09e+15 5.05
1.69e+15 5.44	1.32e+15 5.09
2.03e+15 5.50	1.60e+15 5.15
2.45e+15 5.57	1.94e+15 5.21
2.96e+15 5.65	2.35e+15 5.29
3.56e+15 5.75	2.85e+15 5.38
4.29e+15 5.86	3.46e+15 5.49
5.17e+15 5.98	4.18e+15 5.61
6.22e+15 6.12	5.07e+15 5.75
